Nº; Leite; Café; Cerveja; Pão; Manteiga; Arroz; Feijão
 1; Não  ; Sim ; Não    ; Sim; Sim     ; Não  ; Não
 2; Sim  ; Não ; Sim    ; Sim; Sim     ; Não  ; Não
 3; Não  ; Sim ; Não    ; Sim; Sim     ; Não  ; Não
 4; Sim  ; Sim ; Não    ; Sim; Sim     ; Não  ; Não
 5; Não  ; Não ; Sim    ; Não; Não     ; Não  ; Não
 6; Não  ; Não ; Não    ; Não; Sim     ; Não  ; Não
 7; Não  ; Não ; Não    ; Sim; Não     ; Não  ; Não
 8; Não  ; Não ; Não    ; Não; Não     ; Não  ; Sim
 9; Não  ; Não ; Não    ; Não; Não     ; Sim  ; Sim
10; Não  ; Não ; Não    ; Não; Não     ; Sim  ; Não